Episode,Timestep,Reward
1,364,-121.264
2,728,-123.176
3,1092,-90.571
4,1456,-107.478
5,1820,-110.486
6,2184,-76.327
7,2548,-68.791
8,2912,-79.025
9,3276,-89.472
10,3640,-96.371
11,4004,-53.750
12,4368,-55.934
13,4732,-62.442
14,5096,-50.033
15,5460,-44.267
16,5824,-53.017
17,6188,-53.450
18,6552,-52.313
19,6916,-48.725
20,7280,-59.580
21,7644,-56.330
22,8008,-45.445
23,8372,-50.739
24,8736,-60.170
25,9100,-51.242
26,9464,-39.005
27,9828,-44.151
28,10192,-47.505
29,10556,-41.412
30,10920,-37.192
31,11284,-44.283
32,11648,-46.725
33,12012,-43.033
34,12376,-36.577
35,12740,-45.948
36,13104,-37.228
37,13468,-44.901
38,13832,-35.695
39,14196,-38.418
40,14560,-39.591
41,14924,-44.132
42,15288,-42.607
43,15652,-42.319
44,16016,-48.115
45,16380,-39.887
46,16744,-37.775
47,17108,-36.929
48,17472,-39.673
49,17836,-31.731
50,18200,-41.233
