Episode,Timestep,Reward
1,364,-109.212
2,728,-96.217
3,1092,-90.324
4,1456,-1696.525
5,1820,-1513.989
6,2184,-2006.300
7,2548,-1538.107
8,2912,-2040.797
9,3276,-1443.300
10,3640,-1753.242
11,4004,-1517.753
12,4368,-1738.203
13,4732,-1873.091
14,5096,-2124.321
15,5460,-2015.885
16,5824,-2516.137
17,6188,-2063.283
18,6552,-1865.289
19,6916,-2086.335
20,7280,-1820.684
21,7644,-1653.036
22,8008,-2204.690
23,8372,-2010.154
24,8736,-2056.000
25,9100,-1961.896
26,9464,-1620.923
27,9828,-1614.761
28,10192,-1457.121
29,10556,-1694.341
30,10920,-1303.769
31,11284,-1617.560
32,11648,-1905.734
33,12012,-2075.876
34,12376,-1706.882
35,12740,-1990.758
36,13104,-1584.206
37,13468,-1948.522
38,13832,-1697.206
39,14196,-1846.041
40,14560,-1856.604
41,14924,-1717.989
42,15288,-1890.225
43,15652,-2330.525
44,16016,-2164.192
45,16380,-2094.157
46,16744,-1364.898
47,17108,-1698.973
48,17472,-1433.964
49,17836,-1586.599
50,18200,-1626.121
